Title,URL
豆棚閒話,https://www.gutenberg.org/ebooks/25328
戲中戲,https://www.gutenberg.org/ebooks/24225
比目魚,https://www.gutenberg.org/ebooks/27119
比目魚,https://www.gutenberg.org/ebooks/24185
Study of Inner Cultivation,https://www.gutenberg.org/ebooks/38585
三字經,https://www.gutenberg.org/ebooks/12479
山水情,https://www.gutenberg.org/ebooks/25146
山海經,https://www.gutenberg.org/ebooks/25288
施公案,https://www.gutenberg.org/ebooks/23825
施公案,https://www.gutenberg.org/ebooks/25393
易經,https://www.gutenberg.org/ebooks/25501
木蘭奇女傳,https://www.gutenberg.org/ebooks/23938
海公案,https://www.gutenberg.org/ebooks/54494
燕丹子,https://www.gutenberg.org/ebooks/24068
狄公案,https://www.gutenberg.org/ebooks/27686
百家姓,https://www.gutenberg.org/ebooks/25196
禮記,https://www.gutenberg.org/ebooks/24048
綠牡丹,https://www.gutenberg.org/ebooks/27330
詩經,https://www.gutenberg.org/ebooks/23873
麟兒報,https://www.gutenberg.org/ebooks/27399
Study of Inner Cultivation,https://www.gutenberg.org/ebooks/38585
"Hu Die MeiYuan Yang Meng",https://www.gutenberg.org/ebooks/27059
Qing Lou MengQi Hong Xiao Shi,https://www.gutenberg.org/ebooks/27060
天豹圖,https://www.gutenberg.org/ebooks/26904
梁公九諫,https://www.gutenberg.org/ebooks/26886
長恨歌,https://www.gutenberg.org/ebooks/25352
李娃傳,https://www.gutenberg.org/ebooks/24051
玉樓春,https://www.gutenberg.org/ebooks/25422
漢書,https://www.gutenberg.org/ebooks/23841
引鳳蕭,https://www.gutenberg.org/ebooks/26921
今古奇觀,https://www.gutenberg.org/ebooks/24230
後西游記,https://www.gutenberg.org/ebooks/27332
飛跎全傳,https://www.gutenberg.org/ebooks/27331
佛說四十二章經,https://www.gutenberg.org/ebooks/23585
紅樓夢,https://www.gutenberg.org/ebooks/24264
洛神賦,https://www.gutenberg.org/ebooks/24041
晁氏儒言 一卷,https://www.gutenberg.org/ebooks/43014
水滸後傳,https://www.gutenberg.org/ebooks/25217
幼學瓊林,https://www.gutenberg.org/ebooks/52269
治世餘聞,https://www.gutenberg.org/ebooks/26932
琵琶記,https://www.gutenberg.org/ebooks/25246
雪月梅傳,https://www.gutenberg.org/ebooks/26739
龍川詞,https://www.gutenberg.org/ebooks/26873
三國志,https://www.gutenberg.org/ebooks/25606
隋唐演義,https://www.gutenberg.org/ebooks/23835
論語,https://www.gutenberg.org/ebooks/23839
滬語開路 = Conversational Exercises in the Shanghai Dialect,https://www.gutenberg.org/ebooks/62791
白圭志,https://www.gutenberg.org/ebooks/27023
孟子字義疏證,https://www.gutenberg.org/ebooks/25360
安樂集,https://www.gutenberg.org/ebooks/24106
鄧析子,https://www.gutenberg.org/ebooks/7215
醉醒石,https://www.gutenberg.org/ebooks/24027
唐鍾馗平鬼傳,https://www.gutenberg.org/ebooks/27329
春秋繁露,https://www.gutenberg.org/ebooks/25385
虬髯客傳,https://www.gutenberg.org/ebooks/23915
吳船錄,https://www.gutenberg.org/ebooks/27581
星槎勝覽,https://www.gutenberg.org/ebooks/24143
星槎勝覽,https://www.gutenberg.org/ebooks/23982
喻世明言,https://www.gutenberg.org/ebooks/27582
平妖傳,https://www.gutenberg.org/ebooks/57227
東周列國志,https://www.gutenberg.org/ebooks/25349
警世通言,https://www.gutenberg.org/ebooks/24141
醒世恆言,https://www.gutenberg.org/ebooks/24239
封氏聞見記,https://www.gutenberg.org/ebooks/27207
Eight dwelling places of Buddhist immortals,https://www.gutenberg.org/ebooks/27016
白圭志,https://www.gutenberg.org/ebooks/27023
搜神記,https://www.gutenberg.org/ebooks/25362
搜神記 volume 11-14,https://www.gutenberg.org/ebooks/7271
搜神記 volume 1-3,https://www.gutenberg.org/ebooks/7260
搜神記 volume 15-17,https://www.gutenberg.org/ebooks/7272
搜神記 volume 18-20,https://www.gutenberg.org/ebooks/7273
搜神記 volume 4-10,https://www.gutenberg.org/ebooks/7270
琵琶記,https://www.gutenberg.org/ebooks/25246
抱朴子,https://www.gutenberg.org/ebooks/25696
西京雜記,https://www.gutenberg.org/ebooks/25368
幽明錄,https://www.gutenberg.org/ebooks/52278
明鏡公案,https://www.gutenberg.org/ebooks/52280
公孫龍子,https://www.gutenberg.org/ebooks/7216
竇娥冤,https://www.gutenberg.org/ebooks/52276
竇娥寃,https://www.gutenberg.org/ebooks/24004
管子,https://www.gutenberg.org/ebooks/7367
管子 — Volume 01 : Chapters 1-5,https://www.gutenberg.org/ebooks/7483
管子 — Volume 02 : Chapters 6-10,https://www.gutenberg.org/ebooks/7484
鬼谷子,https://www.gutenberg.org/ebooks/7209
鬼谷子,https://www.gutenberg.org/ebooks/25168
穆天子传,https://www.gutenberg.org/ebooks/24058
漢武帝別國洞冥記,https://www.gutenberg.org/ebooks/52271
日知錄,https://www.gutenberg.org/ebooks/25262
海上花列傳,https://www.gutenberg.org/ebooks/26872
韩非子,https://www.gutenberg.org/ebooks/24049
風月夢,https://www.gutenberg.org/ebooks/26931
韓詩外傳,https://www.gutenberg.org/ebooks/23909
"韓詩外傳, Complete",https://www.gutenberg.org/ebooks/7290
"韓詩外傳, Vol. 1-2",https://www.gutenberg.org/ebooks/7285
"韓詩外傳, Vol. 3-4",https://www.gutenberg.org/ebooks/7286
"韓詩外傳, Vol. 5-6",https://www.gutenberg.org/ebooks/7287
"韓詩外傳, Vol. 7-8",https://www.gutenberg.org/ebooks/7288
"韓詩外傳, Vol. 9-10",https://www.gutenberg.org/ebooks/7289
唐诗三百首,https://www.gutenberg.org/ebooks/52323
長生殿,https://www.gutenberg.org/ebooks/52270
菜根譚,https://www.gutenberg.org/ebooks/24050
菜根譚前後集,https://www.gutenberg.org/ebooks/24040
天豹圖,https://www.gutenberg.org/ebooks/26904
筠州黃檗山斷際禪師傳法心要,https://www.gutenberg.org/ebooks/25236
山水小牘,https://www.gutenberg.org/ebooks/23914
高士傳,https://www.gutenberg.org/ebooks/23948
金剛般若波羅蜜經,https://www.gutenberg.org/ebooks/24098
天妃顯聖錄,https://www.gutenberg.org/ebooks/54777
三略,https://www.gutenberg.org/ebooks/7218
明夷待訪錄,https://www.gutenberg.org/ebooks/23855
鹽鐵論,https://www.gutenberg.org/ebooks/26920
一枕奇,https://www.gutenberg.org/ebooks/27753
六祖壇經,https://www.gutenberg.org/ebooks/23844
臺灣外紀,https://www.gutenberg.org/ebooks/27218
賈誼新書,https://www.gutenberg.org/ebooks/23814
金石緣,https://www.gutenberg.org/ebooks/25369
閱微草堂筆記,https://www.gutenberg.org/ebooks/23817
醒夢駢言,https://www.gutenberg.org/ebooks/27108
孔叢子,https://www.gutenberg.org/ebooks/25374
小爾雅,https://www.gutenberg.org/ebooks/24223
續世說,https://www.gutenberg.org/ebooks/25287
桃花扇,https://www.gutenberg.org/ebooks/24234
金剛般若波羅蜜經,https://www.gutenberg.org/ebooks/24098
補紅樓夢,https://www.gutenberg.org/ebooks/25202
Dao De Jing: A Minimalist Translation,https://www.gutenberg.org/ebooks/49965
老子,https://www.gutenberg.org/ebooks/24039
道德經,https://www.gutenberg.org/ebooks/7337
Dao De Jing: A Minimalist Translation,https://www.gutenberg.org/ebooks/49965
The Chinese Classics — Volume 1: Confucian Analects,https://www.gutenberg.org/ebooks/4094
"The Chinese Classics: with a translation, critical and exegetical notes, prolegomena and copious indexes(Shih ching. English) — Volume 1",https://www.gutenberg.org/ebooks/3100
The Chinese Classics — Volume 1: Confucian Analects,https://www.gutenberg.org/ebooks/4094
"The Chinese Classics: with a translation, critical and exegetical notes, prolegomena and copious indexes(Shih ching. English) — Volume 1",https://www.gutenberg.org/ebooks/3100
"臺灣通史唐山過海的故事",https://www.gutenberg.org/ebooks/25557
李太白集,https://www.gutenberg.org/ebooks/24060
李太白集,https://www.gutenberg.org/ebooks/24169
官場現形記,https://www.gutenberg.org/ebooks/24138
官場現形記,https://www.gutenberg.org/ebooks/54756
官場現形記,https://www.gutenberg.org/ebooks/24139
文明小史,https://www.gutenberg.org/ebooks/25379
海公案,https://www.gutenberg.org/ebooks/54494
孫子算經,https://www.gutenberg.org/ebooks/24038
列子,https://www.gutenberg.org/ebooks/7341
脾胃論,https://www.gutenberg.org/ebooks/25123
李賀詩選,https://www.gutenberg.org/ebooks/25417
文心雕龍,https://www.gutenberg.org/ebooks/23822
二刻拍案惊奇,https://www.gutenberg.org/ebooks/24162
二刻拍案驚奇,https://www.gutenberg.org/ebooks/26729
初刻拍案驚奇,https://www.gutenberg.org/ebooks/57248
殺子報,https://www.gutenberg.org/ebooks/27415
Dao De Jing: A Minimalist Translation,https://www.gutenberg.org/ebooks/49965
Study of Inner Cultivation,https://www.gutenberg.org/ebooks/38585
True Heart/Mind,https://www.gutenberg.org/ebooks/38580
Dao De Jing: A Minimalist Translation,https://www.gutenberg.org/ebooks/49965
Study of Inner Cultivation,https://www.gutenberg.org/ebooks/38585
True Heart/Mind,https://www.gutenberg.org/ebooks/38580
天妃顯聖錄,https://www.gutenberg.org/ebooks/54777
西海紀遊草,https://www.gutenberg.org/ebooks/54433
西海紀遊草,https://www.gutenberg.org/ebooks/54433
漱玉詞,https://www.gutenberg.org/ebooks/25367
鏡花緣,https://www.gutenberg.org/ebooks/23818
鏡花緣,https://www.gutenberg.org/ebooks/25377
李義山詩集,https://www.gutenberg.org/ebooks/25247
天豹圖,https://www.gutenberg.org/ebooks/26904
梁公九諫,https://www.gutenberg.org/ebooks/26886
淮南子,https://www.gutenberg.org/ebooks/24059
天豹圖,https://www.gutenberg.org/ebooks/26904
老殘遊記,https://www.gutenberg.org/ebooks/25124
老殘遊記,https://www.gutenberg.org/ebooks/23850
老殘遊記續集,https://www.gutenberg.org/ebooks/56291
Wu De Ji,https://www.gutenberg.org/ebooks/27087
海島算經,https://www.gutenberg.org/ebooks/26979
郁離子,https://www.gutenberg.org/ebooks/25298
人物志,https://www.gutenberg.org/ebooks/7217
隋唐嘉話,https://www.gutenberg.org/ebooks/27596
大唐新語,https://www.gutenberg.org/ebooks/25280
列仙傳,https://www.gutenberg.org/ebooks/25414
列女傳,https://www.gutenberg.org/ebooks/24228
新序,https://www.gutenberg.org/ebooks/23945
說苑,https://www.gutenberg.org/ebooks/7332
"說苑, Volume 13-16",https://www.gutenberg.org/ebooks/7330
"說苑, Volume 1-4",https://www.gutenberg.org/ebooks/7327
"說苑, Volume 17-20",https://www.gutenberg.org/ebooks/7331
"說苑, Volume 5-8",https://www.gutenberg.org/ebooks/7328
"說苑, Volume 9-12",https://www.gutenberg.org/ebooks/7329
文心雕龍,https://www.gutenberg.org/ebooks/23822
西京雜記,https://www.gutenberg.org/ebooks/23951
舊唐書,https://www.gutenberg.org/ebooks/24229
世說新語,https://www.gutenberg.org/ebooks/24047
幽明錄,https://www.gutenberg.org/ebooks/52278
樂章集,https://www.gutenberg.org/ebooks/25228
斬鬼傳,https://www.gutenberg.org/ebooks/27216
斬鬼傳,https://www.gutenberg.org/ebooks/23867
夢中緣,https://www.gutenberg.org/ebooks/23908
合錦回文傳,https://www.gutenberg.org/ebooks/25250
無聲戲,https://www.gutenberg.org/ebooks/23907
肉蒲團,https://www.gutenberg.org/ebooks/52205
閒情偶寄,https://www.gutenberg.org/ebooks/25380
闲情偶寄,https://www.gutenberg.org/ebooks/25471
弟子規,https://www.gutenberg.org/ebooks/23823
天豹圖,https://www.gutenberg.org/ebooks/26904
